Sigla;Código;Município;Renda familiar - per capita - média (1991);Alfabetizados - pessoas 15 anos e mais (1991);
PB;2510501;Olivedos;0,28;56,906;
PB;2510600;Ouro Velho;0,25;56,377;
PB;2510659;Parari;;59,419;
PB;2510709;Passagem;0,21;52,711;
PB;2510808;Patos;0,66;67,448;
PB;2510907;Paulista;0,33;47,637;
PB;2511004;Pedra Branca;0,21;50,959;
PB;2511103;Pedra Lavrada;0,27;48,049;
PB;2511202;Pedras de Fogo;0,44;39,851;
PB;2511301;Piancó;0,29;49,841;
PB;2511400;Picuí;0,39;51,46;
PB;2511509;Pilar;0,29;42,757;
PB;2511608;Pilões;0,31;37,207;
PB;2511707;Pilõezinhos;0,21;39,662;
PB;2511806;Pirpirituba;0,32;46,801;
PB;2511905;Pitimbu;0,33;48,029;
PB;2512002;Pocinhos;0,34;48,841;
PB;2512036;Poço Dantas;;31,023;
PB;2512077;Poço de José de Moura;;49,49;
PB;2512101;Pombal;0,47;56,132;
PB;2512200;Prata;0,25;57,047;
PB;2512309;Princesa Isabel;0,33;55,146;
PB;2512408;Puxinanã;0,36;51,773;
PB;2512507;Queimadas;0,3;53,632;
PB;2512606;Quixabá;0,2;41,821;
PB;2512705;Remígio;0,44;51,232;
PB;2512721;Pedro Régis;;34,438;
PB;2512747;Riachão;;33,591;
PB;2512754;Riachão do Bacamarte;;40,415;
PB;2512762;Riachão do Poço;;41,167;
PB;2512788;Riacho de Santo Antônio;;43,852;
PB;2512804;Riacho dos Cavalos;0,23;44,388;
PB;2512903;Rio Tinto;0,39;50,506;
PB;2513000;Salgadinho;0,17;40,729;
PB;2513109;Salgado de São Félix;0,31;42,76;
PB;2513158;Santa Cecília;;34,442;
PB;2513208;Santa Cruz;0,26;55,051;
PB;2513307;Santa Helena;0,19;54,32;
PB;2513356;Santa Inês;;38,07;
PB;2513406;Santa Luzia;0,5;64,194;
PB;2513505;Santana de Mangueira;0,24;32,663;
PB;2513604;Santana dos Garrotes;0,19;46,676;
PB;2513653;Santarém;;43,24;
PB;2513703;Santa Rita;0,45;59,933;
PB;2513802;Santa Teresinha;0,2;44,956;
PB;2513851;Santo André;;58,744;
PB;2513901;São Bento;0,48;47,107;
PB;2513927;São Bentinho;;48,066;
PB;2513943;São Domingos do Cariri;;58,34;
PB;2513968;São Domingos de Pombal;;37,311;
PB;2513984;São Francisco;;50,102;
PB;2514008;São João do Cariri;0,37;65,261;
PB;2514107;São João do Tigre;0,18;43,514;
PB;2514206;São José da Lagoa Tapada;0,22;36,216;
PB;2514305;São José de Caiana;0,16;40,796;
PB;2514404;São José de Espinharas;0,21;46,485;
PB;2514453;São José dos Ramos;;33,266;
PB;2514503;São José de Piranhas;0,3;52,557;
PB;2514552;São José de Princesa;;48,849;
PB;2514602;São José do Bonfim;0,21;54,608;
PB;2514651;São José do Brejo do Cruz;;38,454;
PB;2514701;São José do Sabugi;0,3;60,924;
PB;2514800;São José dos Cordeiros;0,22;55,661;
PB;2514909;São Mamede;0,32;61,543;
PB;2515005;São Miguel de Taipu;0,23;34,836;
PB;2515104;São Sebastião de Lagoa de Roça;0,35;49,645;
PB;2515203;São Sebastião do Umbuzeiro;0,36;48,626;
PB;2515302;Sapé;0,34;45,462;
PB;2515401;Seridó;0,21;53,612;
PB;2515500;Serra Branca;0,43;63,937;
PB;2515609;Serra da Raiz;0,27;47,38;
PB;2515708;Serra Grande;0,23;46,474;
PB;2515807;Serra Redonda;0,29;43,299;
PB;2515906;Serraria;0,27;37,908;
PB;2515930;Sertãozinho;;50,326;
PB;2515971;Sobrado;;37,663;
PB;2516003;Solânea;0,39;45,702;
PB;2516102;Soledade;0,39;59,453;
PB;2516151;Sossêgo;;44,622;
PB;2516201;Sousa;0,46;59,197;
PB;2516300;Sumé;0,37;58,389;
PB;2516409;Campo de Santana;0,34;37,13;
PB;2516508;Taperoá;0,27;54,613;
PB;2516607;Tavares;0,27;45,525;
PB;2516706;Teixeira;0,31;58,786;
PB;2516755;Tenório;;47,653;
PB;2516805;Triunfo;0,24;51,823;
PB;2516904;Uiraúna;0,33;56,666;
PB;2517001;Umbuzeiro;0,29;40,877;
PB;2517100;Várzea;0,32;75,456;
PB;2517209;Vieirópolis;;40,497;
PB;2517407;Zabelê;;46,972;
PE;2600054;Abreu e Lima;0,62;78,714;
PE;2600104;Afogados da Ingazeira;0,45;61,699;
PE;2600203;Afrânio;0,29;46,114;
PE;2600302;Agrestina;0,46;42,242;
PE;2600401;Água Preta;0,32;44,21;
PE;2600500;Águas Belas;0,33;34,891;
PE;2600609;Alagoinha;0,43;57,568;
PE;2600708;Aliança;0,32;50,87;
PE;2600807;Altinho;0,39;41,192;
PE;2600906;Amaraji;0,34;43,13;
PE;2601003;Angelim;0,33;46,481;
PE;2601052;Araçoiaba;;41,489;
PE;2601102;Araripina;0,39;53,627;
PE;2601201;Arcoverde;0,74;67,873;
PE;2601300;Barra de Guabiraba;0,38;42,428;
PE;2601409;Barreiros;0,61;60,097;
PE;2601508;Belém de Maria;0,32;45,491;
PE;2601607;Belém de São Francisco;0,46;55,17;
PE;2601706;Belo Jardim;0,51;52,75;
PE;2601805;Betânia;0,25;48,016;
PE;2601904;Bezerros;0,48;49,523;
PE;2602001;Bodocó;0,32;48,725;
PE;2602100;Bom Conselho;0,43;45,193;
PE;2602209;Bom Jardim;0,36;46,099;
PE;2602308;Bonito;0,41;42,8;
PE;2602407;Brejão;0,28;44,367;
PE;2602506;Brejinho;0,3;50,254;
PE;2602605;Brejo da Madre de Deus;0,49;43,249;
PE;2602704;Buenos Aires;0,3;50,666;
PE;2602803;Buíque;0,32;36,643;
PE;2602902;Cabo de Santo Agostinho;0,57;70,971;
PE;2603009;Cabrobó;0,51;54,253;
PE;2603108;Cachoeirinha;0,63;47,075;
PE;2603207;Caetés;0,33;38,714;
PE;2603306;Calçado;0,3;45,253;
PE;2603405;Calumbi;0,23;45,158;
PE;2603454;Camaragibe;0,65;77,459;
PE;2603504;Camocim de São Félix;0,63;45,808;
PE;2603603;Camutanga;0,39;54,115;
PE;2603702;Canhotinho;0,36;40,108;
PE;2603801;Capoeiras;0,35;44,075;
PE;2603900;Carnaíba;0,31;48,749;
PE;2603926;Carnaubeira da Penha;;44,709;
PE;2604007;Carpina;0,59;65,825;
PE;2604106;Caruaru;0,92;68,25;
PE;2604155;Casinhas;;45,996;
PE;2604205;Catende;0,41;53,577;
PE;2604304;Cedro;0,26;57,728;
PE;2604403;Chã de Alegria;0,31;50,091;
PE;2604502;Chã Grande;0,49;42,88;
PE;2604601;Condado;0,47;54,496;
PE;2604700;Correntes;0,36;43,19;
PE;2604809;Cortês;0,32;46,314;
PE;2604908;Cumaru;0,4;43,503;
PE;2605004;Cupira;0,44;44,409;
PE;2605103;Custódia;0,36;52,761;
PE;2605152;Dormentes;;50,88;
PE;2605202;Escada;0,38;58,123;
PE;2605301;Exu;0,31;47,698;
PE;2605400;Feira Nova;0,35;49,036;
PE;2605459;Fernando de Noronha;1,28;88,349;
PE;2605509;Ferreiros;0,39;51,117;
PE;2605608;Flores;0,26;48,906;
PE;2605707;Floresta;0,42;65,281;
PE;2605806;Frei Miguelinho;0,35;47,192;
PE;2605905;Gameleira;0,34;47,244;
PE;2606002;Garanhuns;0,81;66,598;
PE;2606101;Glória do Goitá;0,36;46,36;
PE;2606200;Goiana;0,5;64,316;
PE;2606309;Granito;0,25;53,085;
PE;2606408;Gravatá;0,6;55,675;
PE;2606507;Iati;0,27;31,682;
PE;2606606;Ibimirim;0,36;44,03;
PE;2606705;Ibirajuba;0,3;43,121;
PE;2606804;Igarassu;0,47;67,111;
PE;2606903;Iguaraci;0,35;52,779;
PE;2607000;Inajá;0,29;42,136;
PE;2607109;Ingazeira;0,27;55,253;
PE;2607208;Ipojuca;0,36;52,913;
PE;2607307;Ipubi;0,34;36,651;
PE;2607406;Itacuruba;0,78;57,967;
PE;2607505;Itaíba;0,31;30,586;
PE;2607604;Itamaracá;0,7;69,003;
PE;2607653;Itambé;0,36;43,903;
PE;2607703;Itapetim;0,32;56,234;
PE;2607752;Itapissuma;0,37;61,66;
PE;2607802;Itaquitinga;0,34;51,807;
PE;2607901;Jaboatão dos Guararapes;1,03;80,823;
PE;2607950;Jaqueira;;41,153;
PE;2608008;Jataúba;0,42;41,55;
PE;2608057;Jatobá;;64,03;
PE;2608107;João Alfredo;0,44;39,913;
PE;2608206;Joaquim Nabuco;0,33;48,706;
PE;2608255;Jucati;;45,97;
PE;2608305;Jupi;0,3;48,83;
PE;2608404;Jurema;0,26;37,344;
PE;2608453;Lagoa do Carro;;53,244;
PE;2608503;Lagoa do Itaenga;0,34;46,843;
PE;2608602;Lagoa do Ouro;0,3;40,052;
PE;2608701;Lagoa dos Gatos;0,31;32,685;
PE;2608750;Lagoa Grande;;51,968;
PE;2608800;Lajedo;0,55;53,293;
PE;2608909;Limoeiro;0,53;63,656;
PE;2609006;Macaparana;0,38;49,551;
PE;2609105;Machados;0,31;46,722;
PE;2609154;Manari;;22,197;
PE;2609204;Maraial;0,36;35,958;
PE;2609303;Mirandiba;0,3;55,698;
PE;2609402;Moreno;0,52;68,238;
PE;2609501;Nazaré da Mata;0,57;63,364;
PE;2609600;Olinda;1,24;85,518;
PE;2609709;Orobó;0,33;48,045;
PE;2609808;Orocó;0,44;50,867;
PE;2609907;Ouricuri;0,31;47,562;
PE;2610004;Palmares;0,55;57,787;
PE;2610103;Palmeirina;0,33;46,998;
PE;2610202;Panelas;0,34;33,389;
PE;2610301;Paranatama;0,36;38,692;
PE;2610400;Parnamirim;0,3;54,834;
PE;2610509;Passira;0,33;46,493;
PE;2610608;Paudalho;0,43;57,196;
PE;2610707;Paulista;1,07;86,441;
PE;2610806;Pedra;0,41;45,314;
PE;2610905;Pesqueira;0,54;56,745;
PE;2611002;Petrolândia;0,56;67,862;
PE;2611101;Petrolina;0,82;74,542;
PE;2611200;Poção;0,4;46,322;
PE;2611309;Pombos;0,45;46,349;
PE;2611408;Primavera;0,32;47,786;
PE;2611507;Quipapá;0,34;37,014;
PE;2611533;Quixaba;;47,457;
PE;2611606;Recife;1,74;85,041;
PE;2611705;Riacho das Almas;0,43;41,607;
PE;2611804;Ribeirão;0,46;54,547;
PE;2611903;Rio Formoso;0,32;51,328;
PE;2612000;Sairé;0,35;45,172;
PE;2612109;Salgadinho;0,28;45,211;
PE;2612208;Salgueiro;0,63;64,662;
PE;2612307;Saloá;0,52;43,046;
PE;2612406;Sanharó;0,52;51,514;
PE;2612455;Santa Cruz;;37,342;
PE;2612471;Santa Cruz da Baixa Verde;;55,813;
PE;2612505;Santa Cruz do Capibaribe;0,97;64,454;
PE;2612554;Santa Filomena;;40,749;
PE;2612604;Santa Maria da Boa Vista;0,52;55,92;
PE;2612703;Santa Maria do Cambucá;0,29;43,29;
PE;2612802;Santa Terezinha;0,3;54,066;
PE;2612901;São Benedito do Sul;0,28;31,066;
PE;2613008;São Bento do Una;0,53;46,23;
PE;2613107;São Caitano;0,41;40,878;
PE;2613206;São João;0,34;43,967;
PE;2613305;São Joaquim do Monte;0,39;40,208;
PE;2613404;São José da Coroa Grande;0,36;49,878;
PE;2613503;São José do Belmonte;0,29;49,704;
PE;2613602;São José do Egito;0,53;61,712;
PE;2613701;São Lourenço da Mata;0,53;67,876;
PE;2613800;São Vicente Ferrer;0,4;47,813;
PE;2613909;Serra Talhada;0,54;57,297;
PE;2614006;Serrita;0,29;47,979;
PE;2614105;Sertânia;0,41;55,276;
PE;2614204;Sirinhaém;0,3;49,304;
PE;2614303;Moreilândia;0,2;48,667;
PE;2614402;Solidão;0,15;51,47;
PE;2614501;Surubim;0,47;56,994;
PE;2614600;Tabira;0,42;59,664;
PE;2614709;Tacaimbó;0,34;35,485;
PE;2614808;Tacaratu;0,38;54,492;
PE;2614857;Tamandaré;;49,661;
PE;2615003;Taquaritinga do Norte;0,65;60,438;
PE;2615102;Terezinha;0,26;35,999;
PE;2615201;Terra Nova;0,51;59,428;
PE;2615300;Timbaúba;0,51;59,808;
PE;2615409;Toritama;1;60,658;
PE;2615508;Tracunhaém;0,34;52,338;
PE;2615607;Trindade;0,41;50,691;
PE;2615706;Triunfo;0,36;65,119;
PE;2615805;Tupanatinga;0,24;32,311;
PE;2615904;Tuparetama;0,42;59,363;
PE;2616001;Venturosa;0,4;52,463;
PE;2616100;Verdejante;0,29;50,958;
PE;2616183;Vertente do Lério;;39,943;
PE;2616209;Vertentes;0,39;50,769;
PE;2616308;Vicência;0,36;51,928;
PE;2616407;Vitória de Santo Antão;0,57;61,311;
PE;2616506;Xexéu;;40,916;
PE;2699919;Muribeca;;;
PE;2699929;Nossa Senhora do Ó de Goyanna;;;
PE;2699939;Cimbres;;;
PI;2200053;Acauã;;54,567;
PI;2200103;Agricolândia;0,22;55,297;
PI;2200202;Água Branca;0,39;57,561;
PI;2200251;Alagoinha do Piauí;0,33;33,818;
PI;2200277;Alegrete do Piauí;;33,566;
PI;2200301;Alto Longá;0,26;43,348;
PI;2200400;Altos;0,34;50,837;
PI;2200459;Alvorada do Gurguéia;;49,164;
PI;2200509;Amarante;0,35;56,542;
PI;2200608;Angical do Piauí;0,4;61,394;
PI;2200707;Anísio de Abreu;0,23;48,788;
PI;2200806;Antônio Almeida;0,19;55,809;
PI;2200905;Aroazes;0,23;48,364;
PI;2200954;Aroeiras de Itaim;;;
PI;2201002;Arraial;0,28;46,144;
PI;2201051;Assunção do Piauí;;38,399;
PI;2201101;Avelino Lopes;0,27;57,5;
PI;2201150;Baixa Grande do Ribeiro;;44,996;
PI;2201176;Barra D'Alcântara;;43,419;
PI;2201200;Barras;0,26;42,603;
PI;2201309;Barreiras do Piauí;0,32;64,971;
PI;2201408;Barro Duro;0,4;49,02;
PI;2201507;Batalha;0,22;40,525;
PI;2201556;Bela Vista do Piauí;;59,232;
PI;2201572;Belém do Piauí;;34,446;
PI;2201606;Beneditinos;0,22;44,026;
PI;2201705;Bertolínia;0,23;64,588;
PI;2201739;Betânia do Piauí;;33,244;
PI;2201770;Boa Hora;;28,295;
PI;2201804;Bocaina;0,3;57,061;
PI;2201903;Bom Jesus;0,52;59,212;
PI;2201919;Bom Princípio do Piauí;;38,906;
PI;2201929;Bonfim do Piauí;;46,169;
PI;2201945;Boqueirão do Piauí;;44,499;
PI;2201960;Brasileira;;38,294;
PI;2201988;Brejo do Piauí;;36,918;
PI;2202000;Buriti dos Lopes;0,24;45,496;
PI;2202026;Buriti dos Montes;;37,784;
PI;2202059;Cabeceiras do Piauí;;37,504;
PI;2202075;Cajazeiras do Piauí;;43,167;
PI;2202083;Cajueiro da Praia;;36,374;
PI;2202091;Caldeirão Grande do Piauí;;35,812;
PI;2202109;Campinas do Piauí;0,29;57,172;
PI;2202117;Campo Alegre do Fidalgo;;37,208;
PI;2202133;Campo Grande do Piauí;;33,415;
PI;2202174;Campo Largo do Piauí;;36,252;
PI;2202208;Campo Maior;0,45;63,807;
PI;2202251;Canavieira;;58,986;
PI;2202307;Canto do Buriti;0,3;52,509;
PI;2202406;Capitão de Campos;0,3;49,728;
PI;2202455;Capitão Gervásio Oliveira;;44,993;
PI;2202505;Caracol;0,25;41,847;
PI;2202539;Caraúbas do Piauí;;30,626;
PI;2202554;Caridade do Piauí;;26,803;
PI;2202604;Castelo do Piauí;0,31;50,266;
PI;2202653;Caxingó;;27,495;
PI;2202703;Cocal;0,24;40,946;
PI;2202711;Cocal de Telha;;42,604;
PI;2202729;Cocal dos Alves;;30,609;
PI;2202737;Coivaras;;40,645;
PI;2202752;Colônia do Gurguéia;;62,892;
PI;2202778;Colônia do Piauí;;41,295;
PI;2202802;Conceição do Canindé;0,19;50;
PI;2202851;Coronel José Dias;;44,135;
PI;2202901;Corrente;0,4;65,207;
PI;2203008;Cristalândia do Piauí;0,25;57,738;
PI;2203107;Cristino Castro;0,32;54,523;
PI;2203206;Curimatá;0,26;67,955;
PI;2203230;Currais;;41,43;
PI;2203255;Curralinhos;;46,512;
PI;2203271;Curral Novo do Piauí;;16,347;
PI;2203305;Demerval Lobão;0,39;53,391;
PI;2203354;Dirceu Arcoverde;0,26;50,738;
PI;2203404;Dom Expedito Lopes;0,45;57,505;
PI;2203420;Domingos Mourão;0,2;47,615;
PI;2203453;Dom Inocêncio;0,22;58,179;
PI;2203503;Elesbão Veloso;0,3;47,988;
PI;2203602;Eliseu Martins;0,28;59,528;
PI;2203701;Esperantina;0,33;53,872;
PI;2203750;Fartura do Piauí;;50,555;
PI;2203800;Flores do Piauí;0,28;46,302;
PI;2203859;Floresta do Piauí;;35,827;
PI;2203909;Floriano;0,74;72,494;
PI;2204006;Francinópolis;0,23;46,933;
PI;2204105;Francisco Ayres;0,3;50,821;
PI;2204154;Francisco Macedo;;41,688;
PI;2204204;Francisco Santos;0,42;53,297;
PI;2204303;Fronteiras;0,37;49,513;
PI;2204352;Geminiano;;37,972;
PI;2204402;Gilbués;0,34;63,118;
PI;2204501;Guadalupe;0,53;70,806;
PI;2204550;Guaribas;;22,281;
PI;2204600;Hugo Napoleão;0,23;46,32;
PI;2204659;Ilha Grande;;48,609;
PI;2204709;Inhuma;0,53;52,366;
PI;2204808;Ipiranga do Piauí;0,33;60,062;
PI;2204907;Isaías Coelho;0,18;42,907;
PI;2205003;Itainópolis;0,21;42,652;
PI;2205102;Itaueira;0,24;57,379;
PI;2205151;Jacobina do Piauí;;33,068;
PI;2205201;Jaicós;0,29;39,677;
PI;2205250;Jardim do Mulato;;47,179;
PI;2205276;Jatobá do Piauí;;44,41;
PI;2205300;Jerumenha;0,35;61,653;
PI;2205359;João Costa;;37,078;
PI;2205409;Joaquim Pires;0,22;38,649;
PI;2205458;Joca Marques;;31,361;
PI;2205508;José de Freitas;0,28;54,018;
PI;2205516;Juazeiro do Piauí;;36,606;
PI;2205524;Júlio Borges;;64,667;
PI;2205532;Jurema;;41,029;
PI;2205540;Lagoinha do Piauí;;51,756;
PI;2205557;Lagoa Alegre;;40,548;
PI;2205565;Lagoa do Barro do Piauí;;46,479;
PI;2205573;Lagoa de São Francisco;;42,062;
PI;2205581;Lagoa do Piauí;;43,766;
PI;2205599;Lagoa do Sítio;;40,58;
PI;2205607;Landri Sales;0,39;63,467;
PI;2205706;Luís Correia;0,25;43,94;
PI;2205805;Luzilândia;0,25;47,488;
PI;2205854;Madeiro;;30,915;
PI;2205904;Manoel Emídio;0,18;55,67;
PI;2205953;Marcolândia;;43,191;
PI;2206001;Marcos Parente;0,26;56,534;
PI;2206050;Massapê do Piauí;;25,27;
PI;2206100;Matias Olímpio;0,22;47,307;
PI;2206209;Miguel Alves;0,28;37,515;
PI;2206308;Miguel Leão;0,41;48,892;
PI;2206357;Milton Brandão;;30,425;
PI;2206407;Monsenhor Gil;0,27;56,446;
PI;2206506;Monsenhor Hipólito;0,32;46,67;
PI;2206605;Monte Alegre do Piauí;0,36;56,256;
PI;2206654;Morro Cabeça no Tempo;;56,274;
PI;2206670;Morro do Chapéu do Piauí;;35,219;
PI;2206696;Murici dos Portelas;;26,165;
PI;2206704;Nazaré do Piauí;0,22;49,021;
PI;2206720;Nazária;;;
PI;2206753;Nossa Senhora de Nazaré;;51,942;
PI;2206803;Nossa Senhora dos Remédios;0,19;38,176;
PI;2206902;Novo Oriente do Piauí;0,26;49,542;
PI;2206951;Novo Santo Antônio;;34,488;
PI;2207009;Oeiras;0,33;55,02;
PI;2207108;Olho D'Água do Piauí;;44,455;
PI;2207207;Padre Marcos;0,28;40,452;
PI;2207306;Paes Landim;0,21;55,817;
PI;2207355;Pajeú do Piauí;;43,919;
PI;2207405;Palmeira do Piauí;0,21;51,115;
PI;2207504;Palmeirais;0,2;47,087;
PI;2207553;Paquetá;;35,662;
PI;2207603;Parnaguá;0,24;60,755;
PI;2207702;Parnaíba;0,56;70,33;
PI;2207751;Passagem Franca do Piauí;;38,335;
PI;2207777;Patos do Piauí;;31,07;
PI;2207793;Pau D'Arco do Piauí;;;
PI;2207801;Paulistana;0,26;49,038;
PI;2207850;Pavussu;;43,76;
PI;2207900;Pedro II;0,26;47,921;
PI;2207934;Pedro Laurentino;;45,073;
PI;2207959;Nova Santa Rita;;46,851;
PI;2208007;Picos;0,6;64,978;
PI;2208106;Pimenteiras;0,29;42,052;
PI;2208205;Pio IX;0,26;43,07;
PI;2208304;Piracuruca;0,35;52,306;
PI;2208403;Piripiri;0,38;56,25;
PI;2208502;Porto;0,2;40,427;
PI;2208551;Porto Alegre do Piauí;;52,979;
PI;2208601;Prata do Piauí;0,25;49,554;
PI;2208650;Queimada Nova;;33,093;
PI;2208700;Redenção do Gurguéia;0,23;58,175;
PI;2208809;Regeneração;0,28;47,62;
PI;2208858;Riacho Frio;;57,458;
PI;2208874;Ribeira do Piauí;;39,284;
PI;2208908;Ribeiro Gonçalves;0,28;57,456;
PI;2209005;Rio Grande do Piauí;0,33;49,724;
PI;2209104;Santa Cruz do Piauí;0,2;54,496;
PI;2209153;Santa Cruz dos Milagres;;35,27;
PI;2209203;Santa Filomena;0,33;56,019;
PI;2209302;Santa Luz;0,25;57,404;
PI;2209351;Santana do Piauí;;46,636;
PI;2209377;Santa Rosa do Piauí;;41,753;
PI;2209401;Santo Antônio de Lisboa;0,59;57,193;
PI;2209450;Santo Antônio dos Milagres;;42,573;
PI;2209500;Santo Inácio do Piauí;0,24;49,577;
PI;2209559;São Braz do Piauí;;50,484;
PI;2209609;São Félix do Piauí;0,27;49,189;
PI;2209658;São Francisco de Assis do Piauí;;36,15;
PI;2209708;São Francisco do Piauí;0,15;44,791;
PI;2209757;São Gonçalo do Gurguéia;;59,184;
PI;2209807;São Gonçalo do Piauí;0,39;55,038;
PI;2209856;São João da Canabrava;0,25;48,844;
PI;2209872;São João da Fronteira;;27,751;
PI;2209906;São João da Serra;0,17;46,179;
PI;2209955;São João da Varjota;;35,383;
PI;2209971;São João do Arraial;;40,165;
PI;2210003;São João do Piauí;0,28;61,245;
PI;2210052;São José do Divino;;33,504;
PI;2210102;São José do Peixe;0,27;49,103;
PI;2210201;São José do Piauí;0,31;47,512;
PI;2210300;São Julião;0,35;42,932;
PI;2210359;São Lourenço do Piauí;;55,343;
PI;2210375;São Luis do Piauí;;45,497;
PI;2210383;São Miguel da Baixa Grande;;35,673;
PI;2210391;São Miguel do Fidalgo;;43,533;
PI;2210409;São Miguel do Tapuio;0,2;42,059;
PI;2210508;São Pedro do Piauí;0,29;53,298;
PI;2210607;São Raimundo Nonato;0,39;64,031;
PI;2210623;Sebastião Barros;;52,073;
PI;2210631;Sebastião Leal;;55,081;
PI;2210656;Sigefredo Pacheco;;43,997;
PI;2210706;Simões;0,31;34,42;
PI;2210805;Simplício Mendes;0,43;61,8;
PI;2210904;Socorro do Piauí;0,28;52,332;
PI;2210938;Sussuapara;;49,396;
PI;2210953;Tamboril do Piauí;;36,089;
PI;2210979;Tanque do Piauí;;44,569;
PI;2211001;Teresina;1,01;79,847;
PI;2211100;União;0,29;50,495;
PI;2211209;Uruçuí;0,36;60,01;
PI;2211308;Valença do Piauí;0,48;59,598;
PI;2211357;Várzea Branca;;44,276;
PI;2211407;Várzea Grande;0,25;48,95;
PI;2211506;Vera Mendes;;40,916;
PI;2211605;Vila Nova do Piauí;;48,254;
PI;2211704;Wall Ferraz;;43,101;
PR;4100103;Abatiá;0,7;75,771;
PR;4100202;Adrianópolis;0,62;66,741;
PR;4100301;Agudos do Sul;0,67;80,996;
PR;4100400;Almirante Tamandaré;0,89;83,389;
PR;4100459;Altamira do Paraná;0,48;71,27;
PR;4100509;Altônia;0,7;80,738;
PR;4100608;Alto Paraná;0,79;76,327;
PR;4100707;Alto Piquiri;0,59;71,434;
PR;4100806;Alvorada do Sul;0,88;78,515;
PR;4100905;Amaporã;0,53;73,579;
PR;4101002;Ampére;0,62;80,691;
PR;4101051;Anahy;;74,686;
PR;4101101;Andirá;0,86;78,862;
PR;4101150;Ângulo;;72,365;
PR;4101200;Antonina;0,78;82,46;
PR;4101309;Antônio Olinto;0,48;79,301;
PR;4101408;Apucarana;1,18;85,638;
PR;4101507;Arapongas;1,36;87,06;
PR;4101606;Arapoti;1,28;79,663;
PR;4101655;Arapuã;;71,562;
PR;4101705;Araruna;0,64;79,504;
PR;4101804;Araucária;1,09;90,498;
PR;4101853;Ariranha do Ivaí;;68,519;
PR;4101903;Assaí;1,16;78,792;
PR;4102000;Assis Chateaubriand;0,99;82,299;
PR;4102109;Astorga;1,1;83,38;
PR;4102208;Atalaia;0,85;80,084;
PR;4102307;Balsa Nova;0,82;88,306;
PR;4102406;Bandeirantes;0,96;79,657;
PR;4102505;Barbosa Ferraz;0,6;68,77;
PR;4102604;Barracão;0,85;81,717;
PR;4102703;Barra do Jacaré;0,85;82,81;
PR;4102752;Bela Vista da Caroba;;80,131;
PR;4102802;Bela Vista do Paraíso;1,04;77,469;
PR;4102901;Bituruna;0,6;83,382;
PR;4103008;Boa Esperança;1;76,814;
PR;4103024;Boa Esperança do Iguaçu;;80,255;
PR;4103040;Boa Ventura de São Roque;;75,012;
PR;4103057;Boa Vista da Aparecida;0,4;74,285;
PR;4103107;Bocaiúva do Sul;0,66;75,713;
PR;4103156;Bom Jesus do Sul;;75,009;
PR;4103206;Bom Sucesso;0,74;75,905;
PR;4103222;Bom Sucesso do Sul;;85,138;
PR;4103305;Borrazópolis;0,84;78,322;
PR;4103354;Braganey;0,6;76,497;
PR;4103370;Brasilândia do Sul;;69,259;
PR;4103404;Cafeara;0,63;76,188;
PR;4103453;Cafelândia;1,77;87,838;
PR;4103479;Cafezal do Sul;;70,459;
PR;4103503;Califórnia;0,77;78,012;
PR;4103602;Cambará;1,42;81,791;
PR;4103701;Cambé;1,03;84,017;
PR;4103800;Cambira;0,71;79,49;
PR;4103909;Campina da Lagoa;0,65;76;
PR;4103958;Campina do Simão;;77,785;
PR;4104006;Campina Grande do Sul;1,02;84,897;
PR;4104055;Campo Bonito;0,51;69,942;
PR;4104105;Campo do Tenente;0,55;79,595;
PR;4104204;Campo Largo;1,1;87,765;
PR;4104253;Campo Magro;;84,167;
PR;4104303;Campo Mourão;1,2;83,994;
PR;4104402;Cândido de Abreu;0,39;71,578;
PR;4104428;Candói;;78,459;
PR;4104451;Cantagalo;0,43;81,747;
PR;4104501;Capanema;0,77;85,548;
PR;4104600;Capitão Leônidas Marques;0,61;79,924;
PR;4104659;Carambeí;;86,244;
PR;4104709;Carlópolis;0,7;78,553;
PR;4104808;Cascavel;1,53;89,847;
PR;4104907;Castro;1,16;79,849;
PR;4105003;Catanduvas;0,79;74,72;
PR;4105102;Centenário do Sul;0,9;73,467;
PR;4105201;Cerro Azul;0,46;63,106;
PR;4105300;Céu Azul;0,99;85,979;
PR;4105409;Chopinzinho;0,61;83,236;
PR;4105508;Cianorte;1,16;83,898;
PR;4105607;Cidade Gaúcha;0,84;79,157;
PR;4105706;Clevelândia;0,73;82,635;
PR;4105805;Colombo;1,03;87,954;
PR;4105904;Colorado;1,08;81,148;
PR;4106001;Congonhinhas;0,48;68,908;
PR;4106100;Conselheiro Mairinck;0,62;68,936;
PR;4106209;Contenda;0,96;88,779;
PR;4106308;Corbélia;0,75;83,26;
PR;4106407;Cornélio Procópio;1,25;84,587;
PR;4106456;Coronel Domingos Soares;;68,571;
PR;4106506;Coronel Vivida;0,83;83,917;
PR;4106555;Corumbataí do Sul;0,36;70,763;
PR;4106571;Cruzeiro do Iguaçu;;78,526;
PR;4106605;Cruzeiro do Oeste;0,85;76,864;
PR;4106704;Cruzeiro do Sul;0,68;75,968;
PR;4106803;Cruz Machado;0,53;87,254;
PR;4106852;Cruzmaltina;;71,927;
PR;4106902;Curitiba;2,56;94,508;
PR;4107009;Curiúva;0,5;72,403;
PR;4107108;Diamante do Norte;0,83;77,685;
